tenure,Contract,InternetService,PaymentMethod,SeniorCitizen,Partner,Dependents,PaperlessBilling,PhoneService,OnlineSecurity,TechSupport,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,Churn
13,Month-to-month,No,Bank transfer,1,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.69,265.27,No
18,Month-to-month,DSL,Credit card,0,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,56.43,1029.08,No
34,Month-to-month,DSL,Electronic check,0,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,62.73,2237.07,Yes
19,Month-to-month,DSL,Electronic check,0,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,55.19,1025.87,No
15,Month-to-month,DSL,Credit card,0,Yes,No,No,No,No,No,Yes,Yes,Yes,No,63.33,934.63,Yes
46,Month-to-month,Fiber optic,Bank transfer,0,No,No,Yes,Yes,No,No,Yes,Yes,No,No,74.63,3407.47,No
72,Two year,Fiber optic,Mailed check,0,No,Yes,Yes,No,Yes,No,No,No,Yes,No,81.14,5915.69,No
29,Month-to-month,No,Mailed check,0,No,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,547.41,No
44,Two year,No,Mailed check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.85,947.11,No
12,Two year,No,Bank transfer,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.04,245.78,No
0,Month-to-month,Fiber optic,Mailed check,0,No,No,Yes,Yes,No,No,No,Yes,No,Yes,78.59,79.89,Yes
13,One year,Fiber optic,Bank transfer,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,76.18,965.33,Yes
53,Two year,Fiber optic,Electronic check,0,No,No,Yes,Yes,No,No,No,No,Yes,No,73.88,3926.8,No
53,One year,No,Credit card,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.66,1059.65,No
50,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,No,No,No,No,No,Yes,52.41,2726.77,No
38,Month-to-month,No,Credit card,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.09,774.76,No
7,Month-to-month,Fiber optic,Electronic check,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,98.44,677.03,No
22,Month-to-month,DSL,Electronic check,1,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,63.89,1468.94,Yes
60,Two year,No,Electronic check,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.99,1165.78,No
29,Two year,Fiber optic,Electronic check,0,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,84.9,2487.15,No
4,Month-to-month,No,Mailed check,0,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.66,81.54,Yes
31,One year,DSL,Bank transfer,0,Yes,No,No,Yes,No,Yes,No,No,No,Yes,53.68,1718.01,No
52,Month-to-month,Fiber optic,Credit card,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,84.4,4181.9,Yes
60,Two year,Fiber optic,Mailed check,0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,88.62,5524.89,No
0,Month-to-month,No,Mailed check,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.4,22.09,Yes
47,Two year,DSL,Electronic check,0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,65.46,3208.98,No
61,Two year,DSL,Credit card,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,60.53,3531.6,No
14,Month-to-month,No,Electronic check,1,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.65,297.45,No
12,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,Yes,No,No,Yes,No,No,Yes,82.72,944.39,Yes
66,Two year,No,Electronic check,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.78,1408.82,No
40,Month-to-month,No,Electronic check,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.56,765.24,Yes
37,Month-to-month,Fiber optic,Bank transfer,0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,90.06,3167.66,Yes
49,Two year,DSL,Electronic check,0,No,Yes,Yes,Yes,No,No,Yes,No,No,No,56.37,2640.38,No
35,One year,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,No,No,Yes,No,No,69.92,2549.05,Yes
13,Month-to-month,Fiber optic,Credit card,0,No,No,No,Yes,No,No,Yes,Yes,No,No,78.12,977.76,Yes
35,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,82.68,2849.36,No
12,Month-to-month,No,Bank transfer,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.72,265.67,Yes
23,Two year,Fiber optic,Mailed check,0,No,Yes,Yes,Yes,No,No,No,No,No,No,61.54,1357.09,No
26,Month-to-month,Fiber optic,Credit card,0,No,No,Yes,Yes,Yes,No,No,No,Yes,No,79.5,2083.18,No
26,Month-to-month,DSL,Bank transfer,0,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,60.89,1599.21,No
12,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,Yes,No,Yes,No,No,Yes,No,79.42,940.61,No
72,Two year,No,Credit card,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.44,1353.04,No
9,Month-to-month,No,Mailed check,0,No,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.27,180.83,No
72,Two year,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,91.91,6555.0,No
17,One year,Fiber optic,Bank transfer,0,No,No,Yes,No,Yes,No,No,No,No,No,71.91,1248.94,Yes
58,Two year,No,Bank transfer,1,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.32,1011.01,No
41,Two year,Fiber optic,Electronic check,0,No,Yes,No,Yes,No,No,No,No,No,No,67.78,2775.83,No
53,Two year,Fiber optic,Mailed check,0,No,No,No,Yes,Yes,No,No,No,Yes,No,83.85,4635.74,No
66,Two year,No,Electronic check,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.04,1313.8,No
9,Month-to-month,No,Bank transfer,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.06,189.11,Yes
43,Two year,DSL,Credit card,0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,61.23,2609.32,No
14,Month-to-month,DSL,Mailed check,0,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,74.9,1017.19,No
72,Month-to-month,No,Credit card,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.32,1454.36,No
57,Two year,DSL,Electronic check,0,No,Yes,No,Yes,No,No,No,No,No,No,43.51,2479.78,No
56,Two year,DSL,Credit card,1,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,60.37,3253.69,No
45,One year,No,Credit card,0,No,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,794.28,No
0,Month-to-month,DSL,Bank transfer,0,No,No,Yes,Yes,Yes,No,Yes,No,No,No,61.04,62.38,No
33,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,59.33,2008.83,Yes
29,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,Yes,No,No,Yes,No,Yes,No,78.85,2350.06,Yes
0,Month-to-month,DSL,Electronic check,0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,64.17,66.71,No
56,Month-to-month,DSL,Bank transfer,0,No,No,No,Yes,No,No,No,No,No,No,46.78,2537.3,No
18,Month-to-month,Fiber optic,Credit card,0,Yes,No,No,Yes,No,No,Yes,No,No,No,67.95,1225.02,Yes
0,Month-to-month,DSL,Mailed check,0,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,67.32,70.62,No
59,Two year,No,Electronic check,1,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.02,1041.29,No
3,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,87.29,274.25,No
28,Two year,Fiber optic,Bank transfer,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,107.0,2863.76,No
34,One year,Fiber optic,Mailed check,0,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,88.04,2966.31,No
14,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,79.88,1164.79,Yes
0,Month-to-month,No,Bank transfer,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,22.27,21.17,Yes
6,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,No,No,No,No,No,No,47.95,285.98,No
37,Two year,Fiber optic,Bank transfer,0,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,82.73,3179.39,No
12,Month-to-month,No,Mailed check,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,218.42,No
28,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,No,Yes,No,No,Yes,No,No,82.3,2329.49,No
56,Two year,Fiber optic,Bank transfer,0,Yes,No,No,Yes,No,No,No,No,Yes,No,74.09,4035.17,No
53,Two year,No,Bank transfer,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.44,1044.78,No
0,Month-to-month,DSL,Mailed check,0,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,72.78,72.49,No
18,Month-to-month,DSL,Credit card,0,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,73.37,1264.76,No
1,Month-to-month,No,Mailed check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.03,19.3,Yes
0,Month-to-month,No,Electronic check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,18.79,Yes
32,Month-to-month,Fiber optic,Credit card,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,93.47,3120.14,No
17,One year,No,Credit card,0,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.22,328.37,No
56,Two year,DSL,Electronic check,0,No,No,Yes,No,No,No,No,Yes,Yes,No,60.15,3264.87,No
10,Month-to-month,Fiber optic,Credit card,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,88.07,840.22,Yes
23,One year,No,Bank transfer,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.94,489.56,No
38,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,76.55,2919.36,No
44,Two year,No,Mailed check,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.19,895.35,No
29,One year,DSL,Electronic check,0,No,No,No,Yes,No,No,No,No,No,Yes,54.72,1661.39,No
42,Two year,DSL,Bank transfer,1,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,62.87,2578.92,No
57,Two year,Fiber optic,Credit card,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,89.21,5284.37,No
15,Month-to-month,No,Mailed check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,23.7,361.13,No
7,Month-to-month,DSL,Mailed check,0,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,62.84,430.28,Yes
3,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,77.74,235.22,Yes
17,Month-to-month,Fiber optic,Mailed check,0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,86.7,1415.36,No
44,Two year,DSL,Credit card,0,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,65.42,2963.1,No
46,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,84.59,3914.7,No
46,Two year,DSL,Mailed check,0,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,65.43,3087.87,No
23,Month-to-month,DSL,Mailed check,0,No,Yes,No,Yes,No,No,No,No,Yes,No,49.89,1161.93,Yes
17,Month-to-month,Fiber optic,Bank transfer,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,99.95,1671.89,Yes
13,Month-to-month,DSL,Bank transfer,0,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,57.29,770.13,No
52,One year,Fiber optic,Bank transfer,0,Yes,No,No,Yes,No,No,Yes,No,Yes,No,78.89,4140.99,Yes
47,One year,No,Mailed check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.85,919.15,No
27,Month-to-month,No,Bank transfer,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.04,540.31,No
27,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,82.64,2313.9,No
12,One year,DSL,Bank transfer,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,85.57,1026.27,No
25,Month-to-month,DSL,Bank transfer,0,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,65.43,1640.16,No
50,Two year,No,Credit card,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.88,953.41,No
10,Month-to-month,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,No,Yes,No,No,No,No,74.96,736.35,No
72,Month-to-month,DSL,Electronic check,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,81.45,6074.9,No
0,Month-to-month,No,Credit card,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.07,19.69,Yes
17,Month-to-month,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,93.07,1551.68,Yes
15,Month-to-month,DSL,Credit card,0,No,Yes,Yes,Yes,Yes,No,No,No,No,No,48.72,754.83,No
17,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,No,Yes,No,No,No,No,Yes,Yes,79.05,1390.31,Yes
38,Two year,DSL,Credit card,0,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,70.04,2536.19,No
22,Month-to-month,Fiber optic,Mailed check,1,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,94.14,2118.15,Yes
0,Month-to-month,No,Credit card,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.16,20.55,Yes
23,Month-to-month,Fiber optic,Bank transfer,0,No,No,No,Yes,No,Yes,No,No,No,No,73.37,1722.52,No
21,Month-to-month,Fiber optic,Mailed check,0,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,85.85,1763.23,No
34,One year,No,Mailed check,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.73,617.8,No
17,Month-to-month,No,Electronic check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.56,320.11,Yes
63,One year,DSL,Electronic check,1,No,No,Yes,No,No,No,No,No,Yes,No,52.82,3339.02,No
27,Month-to-month,DSL,Credit card,0,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,59.78,1627.76,No
57,Two year,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,77.87,4274.8,No
25,Month-to-month,DSL,Bank transfer,0,No,No,Yes,No,No,No,No,Yes,No,Yes,56.63,1444.81,No
55,Two year,Fiber optic,Mailed check,0,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,91.55,5145.18,No
27,Month-to-month,Fiber optic,Electronic check,0,No,Yes,No,Yes,No,No,Yes,No,Yes,No,74.51,1986.29,No
8,Month-to-month,No,Credit card,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.24,172.89,Yes
72,Two year,DSL,Electronic check,0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,77.17,5524.49,No
41,One year,Fiber optic,Bank transfer,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,97.89,4108.77,No
72,Two year,Fiber optic,Mailed check,0,No,No,Yes,Yes,No,No,No,No,Yes,Yes,76.02,5695.79,No
53,Month-to-month,No,Electronic check,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.22,931.76,No
30,One year,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,88.9,2651.16,Yes
58,Two year,Fiber optic,Bank transfer,0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,84.95,4872.67,No
44,One year,Fiber optic,Electronic check,0,No,Yes,No,Yes,Yes,No,No,No,No,Yes,81.73,3446.39,No
33,Month-to-month,Fiber optic,Credit card,0,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,83.98,2649.15,No
40,One year,Fiber optic,Bank transfer,0,No,No,No,Yes,Yes,No,No,No,Yes,No,77.26,3034.67,No
57,One year,No,Electronic check,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.86,1152.83,No
26,Two year,Fiber optic,Electronic check,0,No,No,Yes,Yes,No,No,No,No,No,Yes,68.15,1813.88,No
8,Month-to-month,DSL,Electronic check,0,No,No,Yes,Yes,Yes,No,No,No,Yes,No,53.78,449.87,No
15,Month-to-month,DSL,Credit card,0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,55.6,808.29,Yes
43,Two year,DSL,Mailed check,0,No,Yes,No,Yes,No,No,No,No,Yes,Yes,62.48,2667.39,No
0,Month-to-month,DSL,Electronic check,0,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,84.64,85.19,No
52,One year,DSL,Mailed check,0,No,No,No,No,No,No,Yes,Yes,Yes,No,62.09,3123.12,No
0,Month-to-month,DSL,Mailed check,0,No,No,No,Yes,No,No,No,Yes,Yes,Yes,66.13,64.4,Yes
7,Month-to-month,DSL,Bank transfer,0,Yes,No,No,Yes,No,Yes,No,No,No,No,53.96,375.46,No
50,One year,No,Electronic check,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.28,992.29,No
38,Month-to-month,DSL,Electronic check,0,No,Yes,No,Yes,Yes,No,Yes,No,No,No,63.35,2310.32,No
9,Month-to-month,No,Mailed check,1,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.18,183.76,No
21,One year,Fiber optic,Bank transfer,0,Yes,No,No,No,Yes,Yes,No,No,No,Yes,86.88,1885.09,No
25,One year,DSL,Bank transfer,0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,68.42,1677.35,No
72,Two year,DSL,Electronic check,1,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,62.12,4327.56,No
37,Month-to-month,Fiber optic,Electronic check,0,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,89.78,3452.75,Yes
23,Month-to-month,No,Bank transfer,1,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.94,481.66,No
58,Two year,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,81.75,4947.28,No
0,Month-to-month,Fiber optic,Mailed check,0,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,94.19,95.2,Yes
25,Month-to-month,No,Mailed check,0,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,467.25,No
31,Month-to-month,Fiber optic,Electronic check,0,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,80.36,2583.02,No
21,Month-to-month,Fiber optic,Mailed check,0,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,93.5,2044.08,Yes
57,Two year,Fiber optic,Electronic check,0,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,89.85,4880.43,No
37,Two year,No,Mailed check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.19,763.89,No
57,One year,DSL,Electronic check,0,Yes,No,No,Yes,No,No,No,No,Yes,No,51.82,3080.52,No
0,Month-to-month,DSL,Mailed check,0,No,No,No,Yes,No,No,No,Yes,No,No,51.69,54.03,Yes
18,Month-to-month,No,Mailed check,0,No,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.32,365.1,Yes
25,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,64.59,1614.57,No
36,Month-to-month,No,Bank transfer,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.5,683.54,No
35,Month-to-month,No,Bank transfer,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,23.1,838.58,No
36,Month-to-month,Fiber optic,Credit card,0,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,74.61,2641.05,Yes
13,Month-to-month,No,Electronic check,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.31,239.15,Yes
72,One year,DSL,Electronic check,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,66.21,4926.06,No
55,One year,Fiber optic,Electronic check,0,No,No,Yes,Yes,No,No,No,Yes,No,Yes,79.04,4405.1,Yes
12,Month-to-month,Fiber optic,Credit card,0,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,87.11,1095.62,Yes
13,Month-to-month,DSL,Mailed check,0,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,65.7,856.33,Yes
66,Two year,Fiber optic,Electronic check,1,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,90.56,6168.46,No
31,One year,DSL,Bank transfer,0,No,No,Yes,Yes,No,No,No,Yes,Yes,No,59.42,1791.84,No
34,Two year,Fiber optic,Electronic check,0,No,No,No,Yes,No,Yes,No,Yes,No,No,80.18,2608.3,Yes
19,Month-to-month,DSL,Mailed check,0,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,63.74,1241.67,No
18,Two year,Fiber optic,Mailed check,0,No,Yes,No,Yes,No,No,No,No,Yes,Yes,80.63,1506.16,No
24,Month-to-month,No,Bank transfer,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,22.82,569.81,No
28,Month-to-month,Fiber optic,Bank transfer,0,No,No,Yes,Yes,No,No,Yes,No,Yes,No,75.29,2158.14,No
14,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,76.06,1109.96,Yes
36,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,90.66,3338.32,No
32,Month-to-month,DSL,Mailed check,0,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,66.61,2048.95,No
2,Month-to-month,DSL,Electronic check,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,63.25,130.08,No
39,One year,DSL,Credit card,0,No,Yes,No,No,No,No,No,No,Yes,No,50.75,1908.16,No
10,Month-to-month,Fiber optic,Bank transfer,0,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,83.92,797.54,Yes
13,Month-to-month,No,Credit card,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,223.63,Yes
36,Month-to-month,DSL,Bank transfer,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,63.72,2181.95,Yes
28,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,70.37,2035.64,Yes
7,Month-to-month,DSL,Mailed check,0,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,64.71,463.94,No
22,Month-to-month,DSL,Mailed check,0,No,No,Yes,Yes,No,No,No,Yes,No,Yes,53.56,1169.68,Yes
6,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,57.31,353.15,No
46,Two year,Fiber optic,Mailed check,0,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,85.72,3787.12,No
72,Two year,Fiber optic,Mailed check,1,No,No,Yes,Yes,No,No,No,Yes,No,No,71.86,5419.51,No
59,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,No,No,No,No,Yes,No,49.42,2967.58,No
66,One year,Fiber optic,Credit card,1,No,Yes,Yes,Yes,No,No,No,No,No,No,62.05,4269.5,Yes
58,Two year,Fiber optic,Electronic check,0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,81.04,4798.29,No
57,Two year,No,Mailed check,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.66,1176.07,No
54,One year,DSL,Bank transfer,0,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,65.13,3439.14,No
56,Two year,Fiber optic,Bank transfer,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,98.14,5461.94,No
31,Two year,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,89.38,2895.62,No
72,Two year,DSL,Bank transfer,0,No,No,Yes,Yes,Yes,No,No,No,No,Yes,57.03,4150.57,No
0,Month-to-month,Fiber optic,Bank transfer,0,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,69.75,68.25,No
37,Month-to-month,Fiber optic,Credit card,0,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,77.06,2802.07,No
30,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,88.43,2625.61,Yes
48,Month-to-month,DSL,Electronic check,0,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,63.05,2971.81,Yes
32,Month-to-month,DSL,Bank transfer,0,No,No,No,Yes,No,No,Yes,No,No,Yes,55.96,1730.11,No
9,Month-to-month,Fiber optic,Electronic check,1,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,83.44,747.35,Yes
55,One year,Fiber optic,Bank transfer,0,No,No,Yes,Yes,No,No,Yes,No,Yes,No,76.7,4101.97,No
32,One year,DSL,Bank transfer,0,Yes,No,No,Yes,No,No,No,No,No,Yes,52.56,1681.04,No
38,Two year,DSL,Bank transfer,0,No,No,Yes,Yes,No,No,No,No,Yes,Yes,55.9,2147.56,Yes
0,Month-to-month,DSL,Credit card,0,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,65.01,66.51,No
16,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,92.34,1462.82,No
27,Two year,DSL,Credit card,1,No,No,No,No,No,No,No,No,No,Yes,51.01,1342.7,No
72,Two year,No,Bank transfer,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,22.68,1562.4,No
29,Two year,DSL,Electronic check,0,No,No,Yes,Yes,Yes,No,No,No,No,Yes,59.5,1684.52,No
48,Two year,Fiber optic,Credit card,0,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,82.25,3833.38,No
